# rocket_logger v3.3 rate=100Hz accel=16G(2048/G) gyro=2000dps(16.4/dps) sound=A1
t_ms,ax,ay,az,gx,gy,gz,snd
10380,-1256,-324,-2634,1729,-10973,99,541
10390,-1308,-310,-2440,1768,-10870,239,537
10400,-1340,-275,-2366,1807,-10818,354,592
10411,-1330,-258,-2070,1844,-10784,473,738
10420,-1351,-263,-2038,1848,-10783,581,763
10430,-1337,-239,-1864,1870,-10785,690,763
10440,-1307,-236,-1882,1868,-10828,783,764
10450,-1368,-214,-1687,1872,-10835,874,230
10460,-1341,-136,-1778,1843,-10833,936,763
10470,-1336,-125,-1598,1846,-10802,996,549
10480,-1269,-113,-1471,1808,-10785,1143,497
10490,-1128,-217,-1291,1756,-10694,1336,26
10500,-1026,-149,-1045,1715,-10591,1549,593
10510,-834,-65,-967,1619,-10363,1744,29
10520,-833,-51,-929,1556,-10103,1774,575
10530,-685,-37,-857,1474,-9832,1709,764
10540,-536,25,-763,1393,-9557,1615,744
10550,-417,71,-829,1349,-9238,1443,399
10560,-178,69,-768,1295,-8916,1314,764
10570,-45,130,-689,1243,-8560,1231,460
10580,36,225,-625,1220,-8212,1161,764
10594,74,229,-488,1177,-7778,1050,649
10600,147,294,-494,1137,-7583,1002,324
10610,212,234,-583,1116,-7298,937,133
10620,232,219,-590,1088,-6997,840,764
10630,246,193,-564,1076,-6723,741,65
10640,272,168,-583,1059,-6451,643,586
10650,215,125,-606,1048,-6184,555,343
10660,236,173,-523,1002,-5962,479,763
10670,239,159,-477,996,-5724,395,460
10680,170,162,-404,968,-5510,293,302
10690,99,176,-420,939,-5318,156,283
10700,85,212,-443,935,-5172,4,635
10710,79,254,-476,913,-5041,-150,462
10720,26,282,-454,894,-4918,-324,599
10730,40,296,-407,883,-4809,-511,522
10740,-66,293,-404,873,-4709,-712,490
10750,-122,394,-387,826,-4682,-927,535
10760,-181,437,-407,802,-4676,-1121,584
10770,-201,462,-461,763,-4693,-1339,596
10780,-295,515,-598,734,-4743,-1586,441
10790,-357,581,-629,689,-4805,-1834,549
10800,-364,706,-609,651,-4877,-2069,493
10817,-538,797,-833,608,-5068,-2557,495
10820,-580,805,-853,595,-5124,-2643,565
10830,-676,879,-969,551,-5266,-2941,513
10840,-822,963,-1032,530,-5407,-3229,473
10850,-943,1070,-1160,499,-5622,-3536,486
10860,-1031,1139,-1251,494,-5842,-3846,527
10870,-1185,1196,-1381,496,-6131,-4126,469
10880,-1327,1170,-1627,512,-6439,-4367,439
10890,-1422,1176,-1782,565,-6760,-4662,443
10900,-1496,1240,-1880,636,-7044,-4975,484
10910,-1503,1362,-1930,725,-7281,-5310,516
10920,-1537,1452,-1937,823,-7474,-5626,483
10930,-1590,1433,-2035,937,-7612,-5930,530
10940,-1590,1389,-2159,1089,-7723,-6242,545
10950,-1695,1309,-2258,1280,-7769,-6554,555
10960,-1506,1341,-2287,1503,-7771,-6736,532
10970,-1501,1319,-2340,1720,-7775,-6775,525
10980,-1458,1323,-2361,1965,-7756,-6691,528
